HMDB ID,URL,Common Name,SMILES,InChI Identifier,InChI Key
HMDB02387,https://hmdb.ca/metabolites/HMDB02387,Beryllium,[Be++],InChI=1S/Be/q+2,PWOSZCQLSAMRQW-UHFFFAOYSA-N
HMDB02457,https://hmdb.ca/metabolites/HMDB02457,Nickel,[Ni++],InChI=1S/Ni/q+2,VEQPNABPJHWNSG-UHFFFAOYSA-N
HMDB02500,https://hmdb.ca/metabolites/HMDB02500,Bromide,[Br-],InChI=1S/BrH/h1H/p-1,CPELXLSAUQHCOX-UHFFFAOYSA-M
HMDB02501,https://hmdb.ca/metabolites/HMDB02501,Germanium,[Ge+4],InChI=1S/Ge/q+4,CULSIAXQVSZNSV-UHFFFAOYSA-N
HMDB02503,https://hmdb.ca/metabolites/HMDB02503,Vanadium,[V+3],InChI=1S/V/q+3,KOKKJWHERHSKEB-UHFFFAOYSA-N
HMDB02659,https://hmdb.ca/metabolites/HMDB02659,Silver,[Ag+],InChI=1S/Ag/q+1,FOIXSVOLVBLSDH-UHFFFAOYSA-N
HMDB02786,https://hmdb.ca/metabolites/HMDB02786,Nitrite,ON=O,"InChI=1S/HNO2/c2-1-3/h(H,2,3)",IOVCWXUNBOPUCH-UHFFFAOYSA-N
HMDB02878,https://hmdb.ca/metabolites/HMDB02878,Nitrate,[O-][N+]([O-])=O,InChI=1S/NO3/c2-1(3)4/q-1,NHNBFGGVMKEFGY-UHFFFAOYSA-N
HMDB03125,https://hmdb.ca/metabolites/HMDB03125,Hydrogen peroxide,OO,InChI=1S/H2O2/c1-2/h1-2H,MHAJPDPJQMAIIY-UHFFFAOYSA-N
HMDB03276,https://hmdb.ca/metabolites/HMDB03276,Hydrogen sulfide,S,InChI=1S/H2S/h1H2,RWSOTUBLDIXVET-UHFFFAOYSA-N
HMDB03338,https://hmdb.ca/metabolites/HMDB03338,Hydroxylamine,NO,"InChI=1S/H3NO/c1-2/h2H,1H2",AVXURJPOCDRRFD-UHFFFAOYSA-N
HMDB03378,https://hmdb.ca/metabolites/HMDB03378,Nitric oxide,[N]=O,InChI=1S/NO/c1-2,MWUXSHHQAYIFBG-UHFFFAOYSA-N
HMDB03379,https://hmdb.ca/metabolites/HMDB03379,Triphosphate,OP(O)(=O)OP(O)(=O)OP(O)(O)=O,"InChI=1S/H5O10P3/c1-11(2,3)9-13(7,8)10-12(4,5)6/h(H,7,8)(H2,1,2,3)(H2,4,5,6)",UNXRWKVEANCORM-UHFFFAOYSA-N
HMDB03625,https://hmdb.ca/metabolites/HMDB03625,Mercury,[Hg++],InChI=1S/Hg/q+2,BQPIGGFYSBELGY-UHFFFAOYSA-N
HMDB03638,https://hmdb.ca/metabolites/HMDB03638,Cadmium,[Cd++],InChI=1S/Cd/q+2,WLZRMCYVCSSEQC-UHFFFAOYSA-N
HMDB03642,https://hmdb.ca/metabolites/HMDB03642,Strontium,[Sr++],InChI=1S/Sr/q+2,PWYYWQHXAPXYMF-UHFFFAOYSA-N
HMDB03840,https://hmdb.ca/metabolites/HMDB03840,Phosphoroselenoic acid,OP(O)(O)=[Se],"InChI=1S/H3O3PSe/c1-4(2,3)5/h(H3,1,2,3,5)",JRPHGDYSKGJTKZ-UHFFFAOYSA-N
HMDB04118,https://hmdb.ca/metabolites/HMDB04118,Antimony,[Sb+3],InChI=1S/Sb/q+3,FAWGZAFXDJGWBB-UHFFFAOYSA-N
HMDB04138,https://hmdb.ca/metabolites/HMDB04138,Gold,[Au+],InChI=1S/Au/q+1,ZBKIUFWVEIBQRT-UHFFFAOYSA-N
HMDB04142,https://hmdb.ca/metabolites/HMDB04142,Barium,[Ba++],InChI=1S/Ba/q+2,XDFCIPNJCBUZJN-UHFFFAOYSA-N
HMDB04143,https://hmdb.ca/metabolites/HMDB04143,Tantalum,[Ta+5],InChI=1S/Ta/q+5,WTKKCYNZRWIVKL-UHFFFAOYSA-N
HMDB04628,https://hmdb.ca/metabolites/HMDB04628,Lead,[Pb++],InChI=1S/Pb/q+2,RVPVRDXYQKGNMQ-UHFFFAOYSA-N
HMDB05949,https://hmdb.ca/metabolites/HMDB05949,Lithium,[Li+],InChI=1S/Li/q+1,HBBGRARXTFLTSG-UHFFFAOYSA-N
